x,y,z
3.061515884555943e-17,-7.498303609110687e-33,0.5
0.0,0.0,1.0
0.0,1.0,1.0
0.0,1.0,0.0
0.0,0.5,0.0
0.0,0.0,0.5263157894736842
0.0,0.0,0.5526315789473684
0.0,0.0,0.5789473684210527
0.0,0.0,0.6052631578947368
0.0,0.0,0.631578947368421
0.0,0.0,0.6578947368421053
0.0,0.0,0.6842105263157895
0.0,0.0,0.7105263157894737
0.0,0.0,0.7368421052631579
0.0,0.0,0.763157894736842
0.0,0.0,0.7894736842105263
0.0,0.0,0.8157894736842105
0.0,0.0,0.8421052631578947
0.0,0.0,0.868421052631579
0.0,0.0,0.8947368421052632
0.0,0.0,0.9210526315789473
0.0,0.0,0.9473684210526315
0.0,0.0,0.9736842105263157
0.0,0.05882352941176477,1.0
0.0,0.1176470588235296,1.0
0.0,0.1764705882352943,1.0
0.0,0.235294117647059,1.0
0.0,0.2941176470588239,1.0
0.0,0.3529411764705889,1.0
0.0,0.4117647058823538,1.0
0.0,0.4705882352941187,1.0
0.0,0.5294117647058832,1.0
0.0,0.5882352941176479,1.0
0.0,0.6470588235294124,1.0
0.0,0.7058823529411768,1.0
0.0,0.7647058823529413,1.0
0.0,0.823529411764706,1.0
0.0,0.8823529411764703,1.0
0.0,0.941176470588235,1.0
0.0,1.0,0.05882352941176477
0.0,1.0,0.1176470588235296
0.0,1.0,0.1764705882352943
0.0,1.0,0.235294117647059
0.0,1.0,0.2941176470588239
0.0,1.0,0.3529411764705889
0.0,1.0,0.4117647058823538
0.0,1.0,0.4705882352941187
0.0,1.0,0.5294117647058832
0.0,1.0,0.5882352941176479
0.0,1.0,0.6470588235294124
0.0,1.0,0.7058823529411768
0.0,1.0,0.7647058823529413
0.0,1.0,0.823529411764706
0.0,1.0,0.8823529411764703
0.0,1.0,0.941176470588235
0.0,0.5263157894736842,0.0
0.0,0.5526315789473684,0.0
0.0,0.5789473684210527,0.0
0.0,0.6052631578947368,0.0
0.0,0.631578947368421,0.0
0.0,0.6578947368421053,0.0
0.0,0.6842105263157895,0.0
0.0,0.7105263157894737,0.0
0.0,0.7368421052631579,0.0
0.0,0.763157894736842,0.0
0.0,0.7894736842105263,0.0
0.0,0.8157894736842105,0.0
0.0,0.8421052631578947,0.0
0.0,0.868421052631579,0.0
0.0,0.8947368421052632,0.0
0.0,0.9210526315789473,0.0
0.0,0.9473684210526315,0.0
0.0,0.9736842105263157,0.0
0.0,0.4993147673772869,0.02616797812147197
0.0,0.4972609476841367,0.05226423163382649
0.0,0.4938441702975689,0.07821723252011534
0.0,0.4890738003669029,0.1039558454088793
0.0,0.4829629131445342,0.1294095225512601
0.0,0.4755282581475769,0.1545084971874732
0.0,0.466790213248601,0.1791839747726498
0.0,0.4567727288213005,0.2033683215378999
0.0,0.4455032620941842,0.2269952498697729
0.0,0.4330127018922195,0.2499999999999997
0.0,0.4193352839727124,0.2723195175075129
0.0,0.4045084971874741,0.2938926261462361
0.0,0.388572980728486,0.3146601955249181
0.0,0.3715724127386976,0.3345653031794286
0.0,0.3535533905932745,0.3535533905932731
0.0,0.3345653031794297,0.3715724127386966
0.0,0.3146601955249193,0.388572980728485
0.0,0.293892626146237,0.4045084971874734
0.0,0.2723195175075139,0.4193352839727118
0.0,0.2500000000000006,0.433012701892219
0.0,0.2269952498697739,0.4455032620941837
0.0,0.2033683215379005,0.4567727288213003
0.0,0.1791839747726504,0.4667902132486008
0.0,0.1545084971874743,0.4755282581475766
0.0,0.1294095225512608,0.482962913144534
0.0,0.1039558454088799,0.4890738003669028
0.0,0.07821723252011555,0.4938441702975688
0.0,0.05226423163382715,0.4972609476841366
0.0,0.02616797812147218,0.4993147673772869
0.0,0.02275540058460569,0.7268080715661213
0.0,0.7236842105263157,0.02279014220485362
0.0,0.2003254429503123,0.483393333469773
0.0,0.4804400687724608,0.1986078881446233
0.0,0.379007067735655,0.3596642778156416
0.0,0.2951872305194492,0.4313388752338286
0.0,0.4450752858920701,0.2725516955488855
0.0,0.6090769699432275,0.9492236180779232
0.0,0.9537985219828575,0.563102538645531
0.0,0.4426962715196897,0.9533760642708484
0.0,0.9502927705900436,0.3828670179849157
0.0,0.5086321759197285,0.1200431360886048
0.0,0.1247080758599201,0.5099780476344226
0.0,0.02564820657066011,0.8053421554495809
0.0,0.8015599722172789,0.02211230744820328
0.0,0.644951295373035,0.02358654423909049
0.0,0.0228509872052547,0.6448100333399546
0.0,0.2641449799580842,0.9449631239401144
0.0,0.9515301719501905,0.7338561391050513
